Date,Luminosite,Humidite,CO2,Temperature,Batterie
2023-06-06 11:24:06,215.0,53.0,782.0,22.1,3653.0
2023-06-06 11:29:06,229.0,53.0,768.0,22.3,3653.0
2023-06-26 09:52:54,10.0,47.0,418.0,25.2,3659.0
2023-06-26 09:57:54,16.0,47.0,434.0,25.1,3656.0
2023-06-26 10:02:54,16.0,47.0,429.0,25.1,3656.0
2023-06-26 10:07:54,6.0,47.0,422.0,25.1,3659.0
2023-06-26 10:12:54,6.0,47.0,431.0,25.2,3659.0
2023-06-26 10:17:54,16.0,47.0,402.0,25.2,3656.0
2023-06-26 10:22:54,20.0,46.0,422.0,25.2,3656.0
2023-06-26 10:27:54,20.0,46.0,427.0,25.2,3659.0
2023-06-26 10:32:54,6.0,46.0,426.0,25.3,3659.0
2023-06-26 10:37:54,20.0,46.0,428.0,25.2,3659.0
2023-06-26 10:42:54,20.0,46.0,433.0,25.3,3659.0
2023-06-26 10:47:54,10.0,45.0,439.0,25.3,3656.0
2023-06-26 10:52:54,10.0,45.0,430.0,25.3,3656.0
2023-06-26 10:57:54,23.0,45.0,422.0,25.3,3656.0
2023-06-26 11:02:54,23.0,45.0,429.0,25.3,3661.0
2023-06-26 11:07:54,10.0,44.0,431.0,25.5,3659.0
2023-06-26 11:12:54,6.0,44.0,435.0,25.5,3659.0
2023-06-26 11:17:54,20.0,44.0,420.0,25.4,3659.0
2023-06-26 11:22:54,23.0,43.0,437.0,25.5,3656.0
2023-06-26 11:27:54,26.0,43.0,418.0,25.5,3659.0
2023-06-26 11:32:54,10.0,43.0,439.0,25.6,3659.0
2023-06-26 11:37:54,10.0,42.0,434.0,25.6,3659.0
2023-06-26 11:42:54,13.0,42.0,437.0,25.6,3659.0
2023-06-26 11:47:54,16.0,42.0,430.0,25.6,3656.0
2023-06-26 11:52:54,10.0,42.0,417.0,25.6,3659.0
2023-06-26 11:57:54,23.0,42.0,433.0,25.6,3659.0
2023-06-26 12:02:54,10.0,42.0,427.0,25.7,3659.0
2023-06-26 12:07:54,10.0,42.0,432.0,25.7,3656.0
2023-06-26 12:12:54,6.0,41.0,429.0,25.7,3656.0
2023-06-26 12:17:53,13.0,41.0,415.0,25.7,3656.0
2023-06-26 12:22:54,26.0,41.0,420.0,25.7,3656.0
2023-06-26 12:27:53,23.0,41.0,427.0,25.8,3656.0
2023-06-26 12:32:53,23.0,41.0,434.0,25.8,3656.0
2023-06-26 12:37:53,30.0,41.0,419.0,25.8,3659.0
2023-06-26 12:42:53,30.0,41.0,426.0,25.9,3659.0
2023-06-26 12:47:53,30.0,40.0,425.0,25.9,3659.0
2023-06-26 12:52:53,30.0,40.0,411.0,25.9,3656.0
2023-06-26 12:57:53,33.0,40.0,418.0,26.0,3656.0
2023-06-26 13:02:53,33.0,40.0,422.0,26.0,3659.0
2023-06-26 13:07:53,13.0,39.0,426.0,26.0,3656.0
2023-06-26 13:12:53,30.0,39.0,417.0,26.1,3659.0
2023-06-26 13:17:53,16.0,39.0,427.0,26.1,3659.0
2023-06-26 13:22:54,30.0,39.0,419.0,26.1,3661.0
2023-06-26 13:27:53,20.0,38.0,424.0,26.2,3656.0
2023-06-26 13:32:53,16.0,38.0,422.0,26.2,3656.0
2023-06-26 13:37:53,16.0,38.0,417.0,26.2,3656.0
2023-06-26 13:42:53,16.0,38.0,426.0,26.2,3656.0
2023-06-26 13:47:53,26.0,38.0,432.0,26.2,3656.0
2023-06-26 13:52:53,20.0,37.0,428.0,26.2,3656.0
2023-06-26 13:57:53,13.0,37.0,415.0,26.2,3656.0
2023-06-26 14:02:53,13.0,37.0,425.0,26.3,3656.0
2023-06-26 14:07:54,30.0,37.0,432.0,26.2,3659.0
2023-06-26 14:12:53,26.0,37.0,437.0,26.2,3659.0
2023-06-26 14:17:53,26.0,37.0,424.0,26.3,3656.0
2023-06-26 14:22:53,30.0,37.0,419.0,26.3,3656.0
2023-06-26 14:27:53,30.0,36.0,416.0,26.3,3656.0
2023-06-26 14:32:53,30.0,36.0,422.0,26.4,3656.0
2023-06-26 14:37:53,30.0,36.0,427.0,26.4,3656.0
2023-06-26 14:42:53,13.0,36.0,443.0,26.4,3656.0
2023-06-26 14:47:53,23.0,36.0,442.0,26.4,3659.0
2023-06-26 14:52:53,26.0,36.0,433.0,26.5,3656.0
2023-06-26 14:57:53,13.0,36.0,436.0,26.4,3656.0
2023-06-26 15:02:53,16.0,35.0,428.0,26.5,3656.0
2023-06-26 15:07:53,23.0,36.0,427.0,26.5,3659.0
2023-06-26 15:12:53,20.0,35.0,430.0,26.5,3659.0
2023-06-26 15:17:53,20.0,35.0,424.0,26.5,3656.0
2023-06-26 15:22:53,26.0,35.0,426.0,26.5,3656.0
2023-06-26 15:27:53,16.0,35.0,426.0,26.5,3656.0
2023-06-26 15:32:53,23.0,35.0,419.0,26.5,3656.0
2023-06-26 15:42:53,26.0,35.0,426.0,26.6,3656.0
2023-06-26 15:47:53,26.0,35.0,427.0,26.6,3656.0
2023-06-26 15:52:53,26.0,35.0,427.0,26.6,3659.0
2023-06-26 15:57:53,26.0,34.0,432.0,26.6,3656.0
2023-06-26 16:02:53,23.0,34.0,420.0,26.6,3656.0
2023-06-26 16:07:53,23.0,34.0,427.0,26.6,3659.0
2023-06-26 16:12:53,23.0,34.0,414.0,26.6,3656.0
2023-06-26 16:17:53,20.0,34.0,425.0,26.7,3656.0
