Date,Batterie,CO2,Humidite,Luminosite,Pression,Temperature,COV
2023-12-09 19:22:46,28.0,403.0,36.0,0.0,989.35,20.79,90.0
2023-12-10 00:44:05,28.0,405.0,37.0,0.0,997.65,20.68,111.0
2023-12-10 00:53:49,28.0,405.0,37.0,0.0,997.65,20.68,111.0
2023-12-10 05:32:53,28.0,399.0,37.5,20.0,1001.81,20.15,27.0
2023-12-10 05:48:08,28.0,399.0,37.5,20.0,1002.44,20.03,25.0
2023-12-10 06:08:29,28.0,398.0,37.5,18.0,1002.52,20.0,27.0
2023-12-10 06:31:31,28.0,398.0,37.5,18.0,1002.55,19.97,25.0
2023-12-10 07:08:58,28.0,399.0,37.5,18.0,1002.76,20.13,27.0
2023-12-10 07:13:21,28.0,399.0,37.5,18.0,1002.76,20.13,27.0
2023-12-10 07:30:04,28.0,398.0,37.5,18.0,1003.17,20.01,28.0
2023-12-10 07:50:16,28.0,398.0,38.0,18.0,1003.21,19.97,25.0
2023-12-10 07:50:54,28.0,398.0,38.0,18.0,1003.21,19.97,25.0
2023-12-10 08:02:17,28.0,398.0,38.0,18.0,1003.21,19.97,25.0
2023-12-10 08:40:47,28.0,398.0,37.5,18.0,1003.33,20.04,28.0
2023-12-10 08:56:07,28.0,397.0,38.0,20.0,1003.42,19.99,30.0
2023-12-10 09:34:33,28.0,397.0,38.0,18.0,1003.27,19.94,25.0
2023-12-10 09:48:05,28.0,397.0,38.0,18.0,1003.27,19.94,25.0
2023-12-10 10:03:32,28.0,397.0,38.0,18.0,1003.23,19.97,25.0
2023-12-10 10:23:50,28.0,397.0,38.0,18.0,1002.93,19.94,25.0
2023-12-10 10:25:32,28.0,397.0,38.0,18.0,1002.93,19.94,25.0
2023-12-10 10:28:17,28.0,397.0,38.0,18.0,1002.93,19.94,25.0
2023-12-10 10:44:16,28.0,396.0,38.0,18.0,1002.44,19.95,25.0
2023-12-10 11:17:05,28.0,396.0,38.0,8.0,1002.4,20.13,26.0
2023-12-10 11:32:22,28.0,398.0,38.0,18.0,1002.08,20.08,30.0
2023-12-10 11:52:35,28.0,398.0,38.0,17.0,1001.5,20.07,29.0
2023-12-10 11:54:23,28.0,398.0,38.0,17.0,1001.5,20.07,29.0
2023-12-10 11:55:52,28.0,398.0,38.0,17.0,1001.5,20.07,29.0
2023-12-10 11:59:12,28.0,398.0,38.0,17.0,1001.5,20.07,29.0
2023-12-10 12:14:31,28.0,398.0,38.5,18.0,1001.2,20.11,25.0
2023-12-10 12:46:17,28.0,398.0,38.0,7.0,1000.67,20.34,32.0
2023-12-10 13:01:44,28.0,398.0,38.5,18.0,1000.22,20.28,35.0
2023-12-10 13:22:56,28.0,397.0,38.5,18.0,999.57,20.31,32.0
2023-12-10 13:42:24,28.0,399.0,38.5,18.0,999.25,20.33,33.0
2023-12-10 13:43:28,28.0,399.0,38.5,18.0,999.25,20.33,33.0
2023-12-10 14:02:35,28.0,398.0,38.5,20.0,998.43,20.37,34.0
2023-12-10 14:22:52,28.0,398.0,38.5,18.0,998.45,20.39,33.0
2023-12-10 14:44:57,28.0,397.0,38.5,18.0,998.1,20.39,33.0
2023-12-10 14:46:26,28.0,397.0,38.5,18.0,998.1,20.39,33.0
2023-12-10 14:47:42,28.0,397.0,38.5,18.0,998.1,20.39,33.0
2023-12-10 14:56:13,28.0,397.0,38.5,18.0,998.1,20.39,33.0
2023-12-10 14:58:08,28.0,397.0,38.5,18.0,998.1,20.39,33.0
2023-12-10 15:15:17,28.0,398.0,38.5,18.0,997.65,20.45,37.0
2023-12-10 15:34:43,28.0,397.0,38.5,15.0,996.91,20.43,30.0
2023-12-10 15:54:05,28.0,397.0,38.5,17.0,996.23,20.42,33.0
2023-12-10 16:16:29,28.0,397.0,38.5,18.0,995.97,20.48,33.0
2023-12-10 16:35:53,28.0,397.0,39.0,18.0,995.64,20.43,32.0
2023-12-10 16:37:56,28.0,397.0,39.0,18.0,995.64,20.43,32.0
2023-12-10 16:55:55,28.0,397.0,39.0,18.0,995.15,20.4,29.0
2023-12-10 17:16:32,28.0,397.0,38.5,18.0,995.15,20.47,37.0
2023-12-10 17:36:50,28.0,398.0,39.0,19.0,994.93,20.37,36.0
2023-12-10 17:57:15,28.0,398.0,39.0,18.0,994.85,20.34,29.0
2023-12-10 18:39:54,28.0,398.0,39.0,8.0,994.89,20.32,31.0
2023-12-10 18:56:38,28.0,398.0,39.0,18.0,994.75,20.35,31.0
2023-12-10 18:58:52,28.0,398.0,39.0,18.0,994.75,20.35,31.0
2023-12-10 19:15:30,28.0,398.0,39.0,18.0,994.65,20.32,33.0
2023-12-10 19:45:55,28.0,398.0,39.0,18.0,994.83,20.27,31.0
2023-12-10 20:01:13,28.0,398.0,39.0,18.0,994.79,20.27,29.0
2023-12-10 20:22:24,28.0,398.0,39.0,19.0,994.81,20.23,33.0
2023-12-10 20:41:57,28.0,398.0,39.0,18.0,994.95,20.21,30.0
2023-12-10 21:02:09,28.0,397.0,39.0,19.0,994.95,20.21,35.0
2023-12-10 21:22:26,28.0,398.0,39.0,18.0,994.91,20.18,36.0
2023-12-10 21:24:25,28.0,398.0,39.0,18.0,994.91,20.18,36.0
2023-12-10 21:25:25,28.0,398.0,39.0,18.0,994.91,20.18,36.0
2023-12-10 21:38:15,28.0,398.0,39.0,18.0,994.91,20.18,36.0
2023-12-10 21:42:08,28.0,398.0,39.0,18.0,994.91,20.18,36.0
2023-12-10 21:49:49,28.0,398.0,39.0,18.0,994.91,20.18,36.0
2023-12-11 02:18:17,28.0,399.0,39.5,27.0,995.88,20.24,48.0
2023-12-11 02:25:32,28.0,399.0,39.5,27.0,995.88,20.24,48.0
2023-12-11 02:43:53,28.0,400.0,39.5,18.0,996.25,19.99,52.0
2023-12-11 03:01:16,28.0,400.0,39.5,19.0,995.95,19.96,53.0
2023-12-11 04:15:08,28.0,400.0,39.5,8.0,995.72,20.05,41.0
2023-12-11 04:19:12,28.0,400.0,39.5,8.0,995.72,20.05,41.0
2023-12-11 04:35:56,28.0,400.0,40.0,18.0,995.13,19.99,48.0
2023-12-11 04:57:50,28.0,400.0,40.0,18.0,995.07,19.94,48.0
2023-12-11 05:35:49,28.0,400.0,40.0,18.0,995.03,19.92,47.0
2023-12-11 05:38:58,28.0,400.0,40.0,18.0,995.03,19.92,47.0
2023-12-11 05:57:42,28.0,400.0,40.0,18.0,995.03,19.92,47.0
2023-12-11 06:01:35,28.0,400.0,40.0,18.0,995.03,19.92,47.0
2023-12-11 06:17:03,28.0,399.0,40.0,18.0,995.09,19.94,46.0
2023-12-11 06:45:14,28.0,400.0,40.0,18.0,995.21,19.9,49.0
2023-12-11 07:01:27,28.0,399.0,40.0,18.0,995.13,19.9,57.0
2023-12-11 07:20:50,28.0,399.0,40.0,18.0,995.31,19.88,64.0
2023-12-11 07:41:07,28.0,399.0,40.0,18.0,995.54,19.86,71.0
2023-12-11 08:05:06,28.0,400.0,40.0,18.0,995.66,19.95,82.0
2023-12-11 08:24:31,28.0,399.0,40.0,18.0,995.89,19.89,76.0
2023-12-11 08:29:02,28.0,399.0,40.0,18.0,995.89,19.89,76.0
2023-12-11 12:42:30,28.0,428.0,40.5,18.0,998.16,20.13,37.0
2023-12-11 12:43:51,28.0,428.0,40.5,18.0,998.16,20.13,37.0
2023-12-11 12:51:05,28.0,428.0,40.5,18.0,998.16,20.13,37.0
2023-12-11 13:01:09,28.0,428.0,40.5,18.0,998.16,20.13,37.0
2023-12-11 15:34:21,28.0,443.0,41.0,0.0,998.69,20.87,50.0
2023-12-11 15:49:35,28.0,454.0,41.0,18.0,998.45,21.16,145.0
2023-12-11 16:09:49,28.0,464.0,41.0,18.0,998.82,21.14,141.0
2023-12-11 19:36:19,28.0,482.0,41.5,0.0,998.96,21.19,165.0
2023-12-11 19:39:04,28.0,482.0,41.5,0.0,998.96,21.19,165.0
2023-12-11 20:01:37,27.0,452.0,41.5,19.0,999.39,21.4,53.0
2023-12-11 20:16:56,27.0,443.0,41.5,19.0,999.24,21.38,62.0
2023-12-11 20:43:55,27.0,437.0,41.5,6.0,999.0,21.34,58.0
2023-12-11 20:59:13,27.0,437.0,41.5,18.0,999.04,21.31,83.0
2023-12-11 21:19:39,27.0,435.0,41.5,18.0,999.08,21.26,105.0
2023-12-11 21:39:46,27.0,435.0,41.5,18.0,999.0,21.21,111.0
2023-12-11 22:11:07,27.0,434.0,41.5,7.0,998.8,21.36,119.0
2023-12-11 22:26:33,27.0,434.0,41.5,18.0,998.82,21.18,134.0
2023-12-11 22:34:40,27.0,434.0,41.5,18.0,998.82,21.18,134.0
2023-12-11 22:46:14,27.0,434.0,41.5,18.0,998.82,21.18,134.0
2023-12-12 04:49:40,27.0,424.0,42.0,0.0,996.52,20.51,319.0
2023-12-12 05:04:59,27.0,421.0,42.0,17.0,995.03,20.41,347.0
2023-12-12 05:25:10,27.0,420.0,42.0,20.0,994.81,20.37,348.0
2023-12-12 05:48:45,27.0,421.0,42.0,18.0,994.67,20.34,350.0
2023-12-12 08:39:50,27.0,415.0,42.0,0.0,993.95,20.3,353.0
2023-12-12 08:56:14,27.0,413.0,42.0,18.0,993.81,20.39,175.0
2023-12-12 11:51:55,27.0,418.0,42.0,0.0,994.03,20.76,25.0
2023-12-12 12:07:15,27.0,421.0,42.5,18.0,993.36,21.16,36.0
2023-12-12 12:27:32,27.0,428.0,42.5,18.0,993.14,21.2,32.0
2023-12-12 12:47:49,27.0,442.0,42.5,18.0,992.91,21.25,25.0
2023-12-12 16:58:15,27.0,504.0,43.0,18.0,990.63,21.57,48.0
2023-12-12 16:59:34,27.0,504.0,43.0,18.0,990.63,21.57,48.0
2023-12-12 17:14:53,27.0,522.0,43.0,18.0,990.27,21.75,87.0
