Date,Batterie,CO2,Humidite,Luminosite,Pression,Temperature,COV
2023-12-09 12:39:12,96.0,418.0,34.5,23.0,989.0,20.23,25.0
2023-12-09 12:59:20,96.0,418.0,34.5,20.0,988.63,20.23,25.0
2023-12-09 13:19:28,96.0,417.0,34.5,20.0,988.14,20.25,25.0
2023-12-09 13:39:37,96.0,409.0,34.5,20.0,987.69,20.28,28.0
2023-12-09 13:59:45,96.0,408.0,34.5,20.0,987.59,20.29,25.0
2023-12-09 14:19:53,96.0,408.0,34.5,20.0,987.01,20.3,26.0
2023-12-09 14:40:01,96.0,408.0,34.5,20.0,986.74,20.33,25.0
2023-12-09 15:00:09,96.0,408.0,34.5,20.0,986.56,20.36,30.0
2023-12-09 15:20:17,96.0,406.0,34.5,20.0,986.13,20.37,27.0
2023-12-09 15:40:25,96.0,404.0,34.5,20.0,986.13,20.4,31.0
2023-12-09 16:00:34,96.0,404.0,34.5,20.0,986.82,20.43,34.0
2023-12-09 16:20:41,96.0,404.0,34.5,20.0,986.52,20.45,29.0
2023-12-09 16:40:49,96.0,403.0,35.0,20.0,986.68,20.49,36.0
2023-12-09 17:00:58,96.0,404.0,35.0,20.0,986.99,20.5,40.0
2023-12-09 17:21:05,96.0,404.0,35.0,20.0,987.61,20.53,39.0
2023-12-09 17:41:27,96.0,404.0,35.0,21.0,988.45,20.57,57.0
2023-12-09 18:01:41,96.0,405.0,35.0,21.0,989.08,20.59,81.0
2023-12-09 18:21:54,96.0,405.0,35.0,21.0,989.78,20.61,108.0
2023-12-09 18:42:15,96.0,404.0,35.0,21.0,990.16,20.64,119.0
2023-12-09 19:02:28,96.0,403.0,35.0,21.0,991.02,20.66,127.0
2023-12-09 19:22:41,96.0,404.0,35.0,22.0,991.36,20.67,133.0
2023-12-09 19:43:07,96.0,404.0,35.0,21.0,992.12,20.68,145.0
2023-12-09 20:03:19,96.0,404.0,35.0,21.0,992.69,20.69,143.0
2023-12-09 20:23:33,96.0,404.0,35.5,21.0,992.85,20.69,137.0
2023-12-09 20:43:46,96.0,405.0,35.5,21.0,993.26,20.71,138.0
2023-12-09 21:03:59,96.0,406.0,35.5,21.0,993.85,20.69,146.0
2023-12-09 21:24:13,96.0,406.0,35.5,21.0,994.64,20.67,149.0
2023-12-09 21:44:26,96.0,406.0,35.5,21.0,995.4,20.67,145.0
2023-12-09 22:04:38,96.0,407.0,35.5,21.0,995.91,20.64,138.0
2023-12-09 22:24:51,96.0,406.0,35.5,21.0,996.46,20.63,125.0
2023-12-09 22:45:05,96.0,407.0,35.5,21.0,996.72,20.61,126.0
2023-12-09 23:05:19,96.0,406.0,35.5,21.0,997.11,20.58,114.0
2023-12-09 23:25:32,96.0,406.0,35.5,21.0,997.44,20.55,113.0
2023-12-09 23:45:46,96.0,405.0,35.5,21.0,998.08,20.53,110.0
2023-12-10 00:06:00,96.0,405.0,36.0,21.0,998.47,20.49,109.0
2023-12-10 00:26:13,96.0,405.0,36.0,21.0,998.74,20.46,110.0
