Date,Batterie,CO2,Humidite,Luminosite,Pression,Temperature,COV
2023-12-09 12:36:15,96.0,415.0,37.0,19.0,988.43,20.15,25.0
2023-12-09 12:56:33,96.0,414.0,37.0,18.0,987.98,20.15,25.0
2023-12-09 13:16:50,96.0,409.0,37.0,18.0,987.7,20.16,25.0
2023-12-09 13:37:06,96.0,409.0,37.0,19.0,987.13,20.17,25.0
2023-12-09 13:57:22,96.0,407.0,37.5,19.0,986.89,20.19,28.0
2023-12-09 14:17:39,96.0,407.0,37.5,18.0,986.56,20.21,25.0
2023-12-09 14:37:56,96.0,406.0,37.5,19.0,986.19,20.23,25.0
2023-12-09 14:58:14,96.0,405.0,37.5,20.0,986.05,20.25,31.0
2023-12-09 15:18:31,96.0,406.0,37.5,19.0,985.68,20.27,30.0
2023-12-09 15:38:49,96.0,405.0,37.5,19.0,985.62,20.3,30.0
2023-12-09 15:59:05,96.0,405.0,37.5,19.0,986.33,20.32,27.0
2023-12-09 16:19:22,96.0,406.0,37.5,19.0,986.07,20.34,28.0
2023-12-09 16:39:40,96.0,406.0,37.5,20.0,985.82,20.37,26.0
2023-12-09 16:59:57,96.0,406.0,38.0,19.0,986.39,20.4,25.0
2023-12-09 17:20:13,96.0,406.0,38.0,19.0,986.95,20.43,40.0
2023-12-09 17:40:32,96.0,405.0,38.0,19.0,987.76,20.46,57.0
2023-12-09 18:00:48,96.0,404.0,38.0,19.0,988.47,20.48,81.0
2023-12-09 18:21:04,96.0,406.0,38.0,19.0,989.07,20.51,107.0
2023-12-09 18:41:22,96.0,407.0,38.0,19.0,989.39,20.54,122.0
2023-12-09 19:01:40,96.0,406.0,38.0,19.0,990.45,20.56,130.0
2023-12-09 19:21:57,96.0,407.0,38.0,20.0,990.8,20.58,133.0
2023-12-09 19:42:14,96.0,407.0,38.5,19.0,991.41,20.6,138.0
2023-12-09 20:02:30,96.0,409.0,38.5,19.0,992.0,20.62,139.0
2023-12-09 20:22:46,96.0,409.0,38.5,19.0,992.33,20.61,137.0
2023-12-09 20:42:58,96.0,410.0,38.5,18.0,992.55,20.63,133.0
2023-12-09 21:03:10,96.0,410.0,38.5,19.0,993.18,20.62,144.0
2023-12-09 21:23:24,96.0,411.0,38.5,19.0,993.92,20.61,145.0
2023-12-09 21:43:36,96.0,411.0,38.5,19.0,994.71,20.62,134.0
2023-12-09 22:03:50,96.0,411.0,38.5,19.0,995.26,20.59,131.0
2023-12-09 22:24:03,96.0,409.0,38.5,18.0,995.71,20.58,124.0
2023-12-09 22:44:17,96.0,408.0,38.5,19.0,996.12,20.57,116.0
2023-12-09 23:04:30,96.0,408.0,38.5,19.0,996.59,20.54,110.0
2023-12-09 23:24:44,96.0,407.0,39.0,19.0,996.73,20.51,110.0
2023-12-09 23:44:56,96.0,407.0,39.0,21.0,997.35,20.5,110.0
2023-12-10 00:05:09,96.0,406.0,39.0,19.0,997.83,20.46,109.0
2023-12-10 00:25:23,96.0,405.0,39.0,18.0,998.18,20.43,101.0
2023-12-10 00:45:37,96.0,405.0,39.0,19.0,998.44,20.4,105.0
2023-12-10 01:05:51,96.0,403.0,39.0,19.0,998.75,20.37,90.0
2023-12-10 01:26:03,96.0,401.0,39.0,19.0,998.99,20.33,80.0
2023-12-10 01:46:18,96.0,402.0,39.0,19.0,999.18,20.3,73.0
2023-12-10 02:06:30,96.0,402.0,39.0,19.0,999.61,20.26,65.0
2023-12-10 02:26:42,96.0,402.0,39.0,19.0,1000.04,20.23,53.0
2023-12-10 02:46:50,96.0,402.0,39.0,17.0,1000.56,20.21,41.0
2023-12-10 03:06:58,96.0,402.0,39.0,19.0,1000.6,20.16,34.0
2023-12-10 03:27:06,96.0,400.0,39.0,17.0,1000.66,20.13,25.0
2023-12-10 03:47:14,96.0,401.0,39.5,17.0,1000.79,20.1,25.0
2023-12-10 04:07:21,96.0,402.0,39.5,17.0,1001.07,20.06,30.0
2023-12-10 04:27:28,96.0,399.0,39.5,17.0,1001.52,20.02,25.0
2023-12-10 04:47:46,96.0,399.0,39.5,19.0,1001.67,19.98,31.0
2023-12-10 05:07:58,96.0,398.0,39.5,19.0,1001.97,19.94,31.0
2023-12-10 05:28:12,96.0,398.0,39.5,19.0,1001.99,19.91,27.0
2023-12-10 05:48:31,96.0,399.0,39.5,19.0,1002.03,19.89,28.0
2023-12-10 06:08:45,96.0,398.0,39.5,19.0,1002.16,19.86,29.0
