Date,Batterie,CO2,Humidite,Luminosite,Pression,Temperature,COV
2023-12-09 12:55:09,96.0,417.0,37.5,20.0,988.0,20.18,30.0
2023-12-09 13:15:26,96.0,418.0,37.5,20.0,987.73,20.19,26.0
2023-12-09 13:35:43,96.0,417.0,37.5,20.0,987.17,20.22,32.0
2023-12-09 13:56:00,96.0,417.0,38.0,20.0,986.9,20.21,25.0
2023-12-09 14:16:15,96.0,416.0,38.0,20.0,986.55,20.23,33.0
2023-12-09 14:36:33,96.0,409.0,38.0,20.0,986.23,20.28,26.0
2023-12-09 14:56:50,96.0,410.0,38.0,20.0,986.04,20.28,29.0
2023-12-09 15:17:07,96.0,410.0,38.0,20.0,985.74,20.29,26.0
2023-12-09 15:37:24,96.0,409.0,38.0,20.0,985.59,20.35,25.0
2023-12-09 15:57:41,96.0,410.0,38.0,20.0,986.19,20.33,36.0
2023-12-09 16:17:58,96.0,409.0,38.0,20.0,986.23,20.36,37.0
2023-12-09 16:38:15,96.0,410.0,38.0,20.0,985.8,20.42,39.0
2023-12-09 16:58:33,96.0,410.0,38.0,20.0,986.08,20.41,29.0
2023-12-09 17:18:50,96.0,409.0,38.5,20.0,986.82,20.44,40.0
2023-12-09 17:39:07,96.0,408.0,38.5,20.0,987.51,20.5,46.0
2023-12-09 17:59:23,96.0,406.0,38.5,20.0,988.29,20.49,68.0
2023-12-09 18:19:40,96.0,407.0,38.5,20.0,989.0,20.51,90.0
2023-12-09 18:39:56,96.0,407.0,38.5,18.0,989.21,20.57,108.0
2023-12-09 19:00:15,96.0,407.0,38.5,20.0,990.32,20.54,117.0
2023-12-09 19:20:32,96.0,406.0,38.5,20.0,990.71,20.54,126.0
2023-12-09 19:40:47,96.0,408.0,38.5,20.0,991.37,20.57,134.0
2023-12-09 20:01:05,96.0,409.0,38.5,20.0,991.94,20.57,128.0
2023-12-09 20:21:22,96.0,410.0,39.0,23.0,992.2,20.57,122.0
2023-12-09 20:41:38,96.0,412.0,39.0,20.0,992.63,20.57,127.0
2023-12-09 21:01:54,96.0,411.0,39.0,20.0,993.2,20.55,138.0
2023-12-09 21:22:11,96.0,413.0,39.0,21.0,993.94,20.53,130.0
2023-12-09 21:42:28,96.0,413.0,39.0,20.0,994.67,20.52,128.0
2023-12-09 22:02:46,96.0,412.0,39.0,20.0,995.24,20.49,116.0
2023-12-09 22:23:03,96.0,412.0,39.0,20.0,995.75,20.46,106.0
2023-12-09 22:43:20,96.0,412.0,39.0,20.0,996.14,20.47,114.0
2023-12-09 23:03:36,96.0,412.0,39.0,20.0,996.55,20.43,94.0
2023-12-09 23:23:52,96.0,412.0,39.0,20.0,996.75,20.39,98.0
2023-12-09 23:44:09,96.0,411.0,39.0,20.0,997.34,20.38,98.0
2023-12-10 00:04:25,96.0,411.0,39.5,20.0,997.69,20.32,91.0
2023-12-10 00:24:42,96.0,410.0,39.5,20.0,998.19,20.29,84.0
2023-12-10 00:44:59,96.0,410.0,39.5,20.0,998.38,20.27,94.0
2023-12-10 01:05:16,96.0,410.0,39.5,20.0,998.75,20.21,72.0
2023-12-10 01:25:32,96.0,409.0,39.5,20.0,998.97,20.18,75.0
2023-12-10 01:45:50,96.0,409.0,39.5,20.0,999.09,20.18,66.0
2023-12-10 02:06:07,96.0,407.0,39.5,20.0,999.5,20.12,58.0
2023-12-10 02:26:23,96.0,407.0,39.5,20.0,1000.01,20.08,52.0
2023-12-10 02:46:40,96.0,406.0,39.5,22.0,1000.52,20.08,41.0
2023-12-10 03:06:56,96.0,403.0,39.5,20.0,1000.54,20.02,38.0
2023-12-10 03:27:13,96.0,403.0,39.5,20.0,1000.62,19.97,29.0
2023-12-10 03:47:30,96.0,404.0,39.5,21.0,1000.78,19.97,29.0
2023-12-10 04:07:46,96.0,403.0,40.0,20.0,1001.01,19.91,26.0
2023-12-10 04:27:58,96.0,403.0,40.0,0.0,1001.44,19.87,25.0
2023-12-10 04:48:10,96.0,402.0,40.0,0.0,1001.56,19.88,25.0
2023-12-10 05:08:22,96.0,402.0,40.0,0.0,1001.87,19.81,25.0
2023-12-10 05:28:34,96.0,402.0,40.0,0.0,1001.87,19.77,29.0
2023-12-10 05:48:45,96.0,402.0,40.0,0.0,1001.93,19.81,25.0
2023-12-10 06:08:57,96.0,402.0,40.0,0.0,1002.05,19.73,30.0
2023-12-10 06:29:09,96.0,401.0,40.0,0.0,1002.09,19.72,25.0
