Date,Batterie,CO2,Humidite,Luminosite,Pression,Temperature,COV
2023-12-09 12:42:44,96.0,425.0,37.0,0.0,988.42,20.35,30.0
2023-12-09 13:02:52,96.0,424.0,37.0,0.0,988.05,20.35,27.0
2023-12-09 13:23:00,96.0,424.0,37.0,0.0,987.66,20.37,25.0
2023-12-09 13:43:08,96.0,407.0,37.0,0.0,987.03,20.39,29.0
2023-12-09 14:03:16,96.0,407.0,37.0,0.0,986.91,20.41,26.0
2023-12-09 14:23:24,96.0,407.0,37.0,0.0,986.46,20.44,32.0
2023-12-09 14:43:32,96.0,406.0,37.0,0.0,986.17,20.46,32.0
2023-12-09 15:03:40,96.0,406.0,37.0,0.0,985.97,20.48,28.0
2023-12-09 15:23:48,96.0,403.0,37.0,0.0,985.62,20.5,32.0
2023-12-09 15:43:56,96.0,402.0,37.0,0.0,985.56,20.53,31.0
2023-12-09 16:04:04,96.0,402.0,37.0,0.0,986.32,20.56,31.0
2023-12-09 16:24:12,96.0,403.0,37.0,0.0,986.03,20.6,25.0
2023-12-09 16:44:20,96.0,403.0,37.0,0.0,985.93,20.62,26.0
2023-12-09 17:04:28,96.0,404.0,37.0,0.0,986.38,20.65,26.0
2023-12-09 17:24:36,96.0,405.0,37.0,0.0,986.91,20.67,33.0
2023-12-09 17:44:44,96.0,404.0,37.5,0.0,987.82,20.69,34.0
2023-12-09 18:04:52,96.0,403.0,37.5,0.0,988.5,20.72,50.0
2023-12-09 18:25:00,96.0,403.0,37.5,2.0,989.17,20.74,84.0
2023-12-09 18:45:08,96.0,403.0,37.5,0.0,989.46,20.77,100.0
2023-12-09 19:05:16,96.0,404.0,37.5,0.0,990.39,20.78,115.0
2023-12-09 19:25:24,96.0,405.0,37.5,0.0,990.78,20.8,123.0
2023-12-09 19:45:32,96.0,405.0,37.5,0.0,991.48,20.79,135.0
2023-12-09 20:05:40,96.0,404.0,37.5,0.0,991.99,20.79,135.0
2023-12-09 20:25:48,96.0,403.0,37.5,0.0,992.23,20.79,131.0
2023-12-09 20:45:56,96.0,405.0,37.5,0.0,992.68,20.78,139.0
2023-12-09 21:06:04,96.0,404.0,37.5,0.0,993.17,20.76,143.0
2023-12-09 21:26:12,96.0,405.0,37.5,0.0,993.98,20.74,143.0
2023-12-09 21:46:20,96.0,405.0,38.0,0.0,994.72,20.71,141.0
2023-12-09 22:06:28,96.0,405.0,38.0,0.0,995.31,20.69,136.0
2023-12-09 22:26:36,96.0,405.0,38.0,0.0,995.86,20.66,128.0
2023-12-09 22:46:44,96.0,404.0,38.0,0.0,996.13,20.63,129.0
2023-12-09 23:06:52,96.0,404.0,38.0,0.0,996.57,20.6,119.0
2023-12-09 23:27:00,96.0,404.0,38.0,1.0,996.8,20.57,117.0
2023-12-09 23:47:08,96.0,404.0,38.0,0.0,997.39,20.53,113.0
2023-12-10 00:07:16,96.0,405.0,38.0,0.0,997.86,20.5,113.0
2023-12-10 00:27:24,96.0,404.0,38.0,0.0,998.18,20.47,105.0
2023-12-10 00:47:32,96.0,404.0,38.0,0.0,998.39,20.42,109.0
2023-12-10 01:07:40,96.0,404.0,38.0,0.0,998.78,20.39,100.0
2023-12-10 01:27:48,96.0,404.0,38.0,1.0,999.02,20.36,94.0
2023-12-10 01:47:56,96.0,404.0,38.0,0.0,999.14,20.33,85.0
2023-12-10 02:08:04,96.0,403.0,38.0,0.0,999.53,20.29,77.0
2023-12-10 02:28:12,96.0,402.0,38.5,0.0,1000.06,20.26,65.0
2023-12-10 02:48:20,96.0,402.0,38.5,0.0,1000.57,20.22,58.0
2023-12-10 03:08:28,96.0,402.0,38.5,0.0,1000.57,20.18,54.0
2023-12-10 03:28:36,96.0,400.0,38.5,0.0,1000.69,20.16,44.0
2023-12-10 03:48:44,96.0,399.0,38.5,0.0,1000.81,20.1,30.0
2023-12-10 04:08:52,96.0,399.0,38.5,2.0,1001.0,20.07,32.0
2023-12-10 04:29:00,96.0,398.0,38.5,0.0,1001.47,20.04,25.0
2023-12-10 04:49:08,96.0,396.0,38.5,0.0,1001.65,20.01,25.0
2023-12-10 05:09:15,96.0,397.0,38.5,0.0,1001.92,19.97,30.0
2023-12-10 05:29:23,96.0,396.0,38.5,0.0,1001.92,19.95,28.0
2023-12-10 05:49:31,96.0,396.0,38.5,0.0,1001.98,19.92,25.0
2023-12-10 06:09:39,96.0,397.0,38.5,0.0,1002.12,19.9,25.0
2023-12-10 06:29:45,96.0,396.0,38.5,0.0,1002.12,19.89,33.0
2023-12-10 06:49:53,96.0,396.0,38.5,0.0,1002.22,19.85,30.0
2023-12-10 07:10:01,96.0,395.0,38.5,0.0,1002.45,19.84,34.0
2023-12-10 07:30:12,96.0,396.0,38.5,24.0,1002.7,19.82,27.0
2023-12-10 07:50:20,96.0,396.0,39.0,25.0,1002.7,19.81,26.0
2023-12-10 08:10:28,96.0,396.0,39.0,24.0,1002.86,19.8,30.0
2023-12-10 08:30:43,96.0,396.0,39.0,25.0,1002.88,19.79,29.0
2023-12-10 08:50:56,96.0,396.0,39.0,27.0,1003.02,19.79,28.0
2023-12-10 09:11:08,96.0,396.0,39.0,25.0,1002.84,19.78,26.0
2023-12-10 09:31:19,96.0,396.0,39.0,27.0,1002.63,19.78,30.0
2023-12-10 09:51:31,96.0,395.0,39.0,25.0,1002.7,19.78,29.0
2023-12-10 10:11:44,96.0,396.0,39.0,27.0,1002.65,19.78,25.0
2023-12-10 10:31:58,96.0,396.0,39.0,25.0,1002.26,19.8,27.0
2023-12-10 10:52:11,96.0,396.0,39.0,25.0,1002.02,19.82,25.0
2023-12-10 11:12:24,96.0,396.0,39.0,25.0,1001.94,19.86,25.0
2023-12-10 11:32:38,96.0,396.0,39.0,25.0,1001.59,19.91,27.0
2023-12-10 11:52:51,96.0,396.0,39.0,25.0,1001.12,19.92,34.0
2023-12-10 12:13:04,96.0,396.0,39.0,25.0,1000.81,19.95,26.0
2023-12-10 12:33:18,96.0,396.0,39.0,25.0,1000.43,20.03,26.0
2023-12-10 12:53:30,96.0,395.0,39.0,27.0,999.7,20.1,34.0
2023-12-10 13:13:43,96.0,396.0,39.0,25.0,999.23,20.19,34.0
2023-12-10 13:33:57,96.0,396.0,39.0,27.0,999.06,20.23,38.0
2023-12-10 13:54:10,96.0,395.0,39.0,27.0,998.28,20.25,33.0
2023-12-10 14:14:22,96.0,396.0,39.5,25.0,997.94,20.27,35.0
2023-12-10 14:34:35,96.0,396.0,39.5,25.0,997.68,20.27,32.0
2023-12-10 14:54:48,96.0,396.0,39.5,25.0,997.39,20.28,34.0
2023-12-10 15:15:02,96.0,396.0,39.5,25.0,997.0,20.28,31.0
2023-12-10 15:35:16,96.0,395.0,39.5,25.0,996.47,20.28,37.0
2023-12-10 15:55:29,96.0,395.0,39.5,25.0,995.84,20.28,33.0
2023-12-10 16:15:41,96.0,396.0,39.5,25.0,995.51,20.26,36.0
2023-12-10 16:35:55,96.0,396.0,39.5,25.0,995.13,20.26,34.0
2023-12-10 16:56:09,96.0,395.0,39.5,25.0,994.68,20.23,32.0
2023-12-10 17:16:22,96.0,395.0,39.5,25.0,994.68,20.22,32.0
2023-12-10 17:36:36,96.0,394.0,39.5,25.0,994.52,20.2,32.0
2023-12-10 17:56:49,96.0,394.0,39.5,25.0,994.48,20.19,32.0
2023-12-10 18:17:02,96.0,393.0,39.5,28.0,994.5,20.16,31.0
2023-12-10 18:37:17,96.0,394.0,39.5,27.0,994.39,20.14,28.0
2023-12-10 18:57:30,96.0,395.0,39.5,25.0,994.35,20.12,36.0
2023-12-10 19:17:43,96.0,395.0,39.5,27.0,994.25,20.1,28.0
2023-12-10 19:37:56,96.0,395.0,39.5,25.0,994.43,20.09,26.0
2023-12-10 19:58:09,96.0,396.0,39.5,25.0,994.29,20.07,32.0
2023-12-10 20:18:23,96.0,396.0,39.5,27.0,994.47,20.06,36.0
2023-12-10 20:38:36,96.0,397.0,39.5,27.0,994.5,20.04,31.0
2023-12-10 20:58:48,96.0,397.0,40.0,25.0,994.58,20.03,27.0
2023-12-10 21:19:00,96.0,397.0,40.0,27.0,994.54,20.02,38.0
2023-12-10 21:39:13,96.0,397.0,40.0,25.0,994.41,20.01,37.0
2023-12-10 21:59:26,96.0,397.0,40.0,25.0,994.58,19.99,41.0
2023-12-10 22:19:40,96.0,396.0,40.0,25.0,994.66,19.98,45.0
2023-12-10 22:39:54,96.0,395.0,40.0,25.0,994.66,19.97,41.0
2023-12-10 23:00:07,96.0,395.0,40.0,25.0,994.86,19.95,49.0
2023-12-10 23:20:19,96.0,395.0,40.0,27.0,994.99,19.94,49.0
2023-12-10 23:40:33,96.0,396.0,40.0,25.0,995.17,19.93,47.0
2023-12-11 00:00:47,96.0,395.0,40.0,25.0,995.49,19.91,51.0
2023-12-11 00:21:00,96.0,395.0,40.0,25.0,995.66,19.9,51.0
2023-12-11 00:41:13,96.0,395.0,40.0,27.0,995.59,19.89,52.0
2023-12-11 01:01:25,96.0,395.0,40.0,25.0,995.45,19.87,53.0
2023-12-11 01:21:37,96.0,395.0,40.0,27.0,995.35,19.85,55.0
2023-12-11 01:41:50,96.0,395.0,40.0,25.0,995.09,19.85,49.0
2023-12-11 02:02:03,96.0,394.0,40.0,27.0,995.09,19.83,58.0
2023-12-11 02:22:17,96.0,395.0,40.5,25.0,995.27,19.81,52.0
2023-12-11 02:42:31,96.0,394.0,40.5,27.0,995.78,19.8,52.0
2023-12-11 03:02:44,96.0,392.0,40.5,27.0,995.51,19.78,43.0
2023-12-11 03:22:53,96.0,393.0,40.5,22.0,995.17,19.77,49.0
2023-12-11 03:43:01,96.0,394.0,40.5,0.0,994.97,19.77,49.0
2023-12-11 04:03:09,96.0,394.0,40.5,0.0,994.82,19.75,45.0
2023-12-11 04:23:17,96.0,393.0,40.5,0.0,994.82,19.73,48.0
2023-12-11 04:43:25,96.0,395.0,40.5,0.0,994.66,19.73,46.0
2023-12-11 05:03:33,96.0,394.0,40.5,0.0,994.35,19.72,56.0
2023-12-11 05:23:41,96.0,394.0,40.5,0.0,994.66,19.7,47.0
2023-12-11 05:43:49,96.0,394.0,40.5,0.0,994.6,19.71,47.0
2023-12-11 06:03:57,96.0,393.0,40.5,0.0,994.21,19.7,46.0
2023-12-11 06:24:05,96.0,393.0,40.5,0.0,994.88,19.7,35.0
2023-12-11 06:44:13,96.0,394.0,40.5,0.0,994.72,19.7,45.0
2023-12-11 07:04:21,96.0,393.0,40.5,0.0,994.68,19.7,49.0
