Date,Batterie,CO2,Humidite,Luminosite,Pression,Temperature,COV
2023-12-09 12:37:11,96.0,413.0,36.0,23.0,988.63,20.02,36.0
2023-12-09 12:57:28,96.0,412.0,36.0,23.0,988.2,20.03,33.0
2023-12-09 13:17:44,96.0,412.0,36.0,23.0,987.96,20.04,30.0
2023-12-09 13:38:01,96.0,413.0,36.0,23.0,987.31,20.05,36.0
2023-12-09 13:58:17,96.0,413.0,36.0,23.0,987.12,20.06,26.0
2023-12-09 14:18:35,96.0,412.0,36.0,23.0,986.71,20.07,25.0
2023-12-09 14:38:52,96.0,412.0,36.0,23.0,986.38,20.09,32.0
2023-12-09 14:59:09,96.0,412.0,36.5,23.0,986.22,20.11,31.0
2023-12-09 15:19:25,96.0,411.0,36.5,24.0,985.91,20.13,25.0
2023-12-09 15:39:43,96.0,411.0,36.5,23.0,985.87,20.16,39.0
2023-12-09 16:00:00,96.0,411.0,36.5,23.0,986.53,20.18,35.0
2023-12-09 16:20:17,96.0,411.0,36.5,23.0,986.31,20.21,38.0
2023-12-09 16:40:33,96.0,410.0,36.5,23.0,986.0,20.24,35.0
2023-12-09 17:00:50,96.0,410.0,36.5,26.0,986.57,20.26,34.0
2023-12-09 17:21:08,96.0,411.0,36.5,23.0,987.14,20.29,36.0
2023-12-09 17:41:25,96.0,411.0,36.5,26.0,987.94,20.32,45.0
2023-12-09 18:01:41,96.0,411.0,36.5,23.0,988.65,20.34,53.0
2023-12-09 18:21:59,96.0,410.0,36.5,23.0,989.28,20.37,74.0
2023-12-09 18:42:16,96.0,409.0,36.5,23.0,989.63,20.39,93.0
2023-12-09 19:02:33,96.0,409.0,36.5,23.0,990.61,20.42,105.0
2023-12-09 19:22:50,96.0,410.0,36.5,24.0,991.0,20.43,116.0
2023-12-09 19:43:07,96.0,410.0,36.5,23.0,991.63,20.46,131.0
2023-12-09 20:03:24,96.0,410.0,36.5,23.0,992.22,20.46,133.0
2023-12-09 20:23:42,96.0,410.0,36.5,26.0,992.57,20.46,129.0
2023-12-09 20:43:58,96.0,410.0,37.0,23.0,992.83,20.47,136.0
2023-12-09 21:04:15,96.0,409.0,37.0,23.0,993.38,20.47,138.0
2023-12-09 21:24:33,96.0,409.0,37.0,23.0,994.12,20.46,146.0
2023-12-09 21:25:26,96.0,409.0,37.0,23.0,994.12,20.46,146.0
2023-12-09 21:44:47,95.0,409.0,37.0,23.0,994.92,20.46,139.0
2023-12-09 22:05:01,95.0,409.0,37.0,23.0,995.53,20.45,137.0
2023-12-09 22:25:08,95.0,409.0,37.0,21.0,995.96,20.43,125.0
2023-12-09 22:45:16,95.0,409.0,37.0,21.0,996.38,20.41,122.0
2023-12-09 23:05:24,95.0,409.0,37.0,22.0,996.84,20.39,120.0
2023-12-09 23:25:32,95.0,409.0,37.0,21.0,996.96,20.36,118.0
2023-12-09 23:45:40,95.0,409.0,37.0,22.0,997.51,20.34,102.0
2023-12-10 00:05:48,95.0,410.0,37.0,21.0,997.99,20.31,105.0
2023-12-10 00:25:55,95.0,410.0,37.0,21.0,998.32,20.28,101.0
2023-12-10 00:46:03,95.0,410.0,37.0,20.0,998.61,20.26,104.0
2023-12-10 01:06:10,95.0,408.0,37.0,21.0,998.96,20.22,94.0
2023-12-10 01:26:37,95.0,407.0,37.0,24.0,999.3,20.18,98.0
2023-12-10 01:46:38,95.0,406.0,37.0,24.0,999.47,20.14,83.0
2023-12-10 02:06:51,95.0,406.0,37.0,24.0,999.69,20.11,75.0
2023-12-10 02:28:31,95.0,405.0,37.5,23.0,1000.33,20.08,53.0
2023-12-10 02:47:16,95.0,405.0,37.5,24.0,1000.81,20.06,53.0
2023-12-10 03:07:29,95.0,405.0,37.5,26.0,1000.77,20.02,39.0
2023-12-10 03:27:41,95.0,403.0,37.5,26.0,1000.85,19.99,38.0
2023-12-10 03:47:55,95.0,405.0,37.5,24.0,1001.04,19.96,29.0
2023-12-10 04:08:09,95.0,404.0,37.5,24.0,1001.34,19.92,30.0
2023-12-10 04:28:22,95.0,405.0,37.5,24.0,1001.75,19.88,25.0
2023-12-10 04:48:36,95.0,405.0,37.5,24.0,1001.93,19.85,26.0
2023-12-10 05:08:50,95.0,403.0,37.5,24.0,1002.22,19.81,25.0
2023-12-10 05:29:03,95.0,402.0,37.5,24.0,1002.22,19.78,47.0
2023-12-10 05:49:17,95.0,403.0,37.5,26.0,1002.24,19.76,29.0
2023-12-10 06:09:29,95.0,402.0,37.5,24.0,1002.35,19.72,27.0
2023-12-10 06:29:41,95.0,402.0,37.5,22.0,1002.39,19.7,40.0
2023-12-10 06:49:54,95.0,402.0,37.5,24.0,1002.55,19.67,31.0
2023-12-10 07:10:08,95.0,400.0,37.5,24.0,1002.73,19.65,46.0
2023-12-10 07:30:21,95.0,400.0,37.5,24.0,1002.9,19.62,33.0
2023-12-10 07:50:33,95.0,401.0,37.5,24.0,1002.9,19.61,25.0
2023-12-10 08:10:47,95.0,401.0,37.5,24.0,1003.11,19.6,25.0
2023-12-10 08:31:00,95.0,401.0,37.5,22.0,1003.2,19.58,32.0
2023-12-10 08:51:14,95.0,402.0,37.5,24.0,1003.18,19.57,42.0
2023-12-10 09:11:28,95.0,401.0,37.5,24.0,1003.12,19.56,30.0
2023-12-10 09:31:41,95.0,401.0,37.5,24.0,1002.82,19.54,37.0
2023-12-10 09:51:55,95.0,402.0,38.0,24.0,1002.86,19.55,34.0
2023-12-10 10:12:08,95.0,402.0,38.0,24.0,1002.86,19.54,33.0
2023-12-10 10:32:22,95.0,402.0,38.0,24.0,1002.49,19.54,37.0
2023-12-10 10:52:34,95.0,402.0,38.0,24.0,1002.34,19.54,35.0
2023-12-10 11:12:47,95.0,402.0,38.0,24.0,1002.14,19.55,50.0
2023-12-10 11:33:00,95.0,402.0,38.0,24.0,1001.85,19.57,32.0
2023-12-10 11:53:12,95.0,401.0,38.0,24.0,1001.44,19.61,47.0
2023-12-10 12:13:24,95.0,401.0,38.0,24.0,1001.01,19.61,45.0
2023-12-10 12:33:36,95.0,400.0,38.0,24.0,1000.63,19.65,32.0
2023-12-10 12:53:51,95.0,399.0,38.0,24.0,999.98,19.7,40.0
2023-12-10 13:14:04,95.0,400.0,38.0,24.0,999.49,19.75,40.0
2023-12-10 13:34:18,95.0,400.0,38.0,24.0,999.0,19.8,33.0
2023-12-10 13:54:31,95.0,400.0,38.0,24.0,998.46,19.85,35.0
2023-12-10 14:14:43,95.0,400.0,38.0,25.0,998.14,19.88,39.0
2023-12-10 14:34:55,95.0,400.0,38.0,25.0,998.01,19.91,39.0
2023-12-10 14:55:08,95.0,402.0,38.0,24.0,997.63,19.94,35.0
2023-12-10 15:15:20,95.0,401.0,38.0,24.0,997.28,19.94,39.0
2023-12-10 15:35:33,95.0,400.0,38.0,24.0,996.75,19.96,41.0
2023-12-10 15:55:47,95.0,399.0,38.5,24.0,996.08,19.98,39.0
2023-12-10 16:16:00,95.0,400.0,38.5,24.0,995.85,19.98,43.0
2023-12-10 16:36:12,95.0,400.0,38.5,24.0,995.44,19.97,40.0
2023-12-10 16:37:06,95.0,400.0,38.5,24.0,995.44,19.97,40.0
2023-12-10 16:56:32,95.0,400.0,38.5,24.0,994.92,19.99,38.0
2023-12-10 17:16:48,95.0,400.0,38.5,24.0,994.86,19.97,34.0
2023-12-10 17:37:04,95.0,400.0,38.5,24.0,994.79,19.96,35.0
2023-12-10 17:57:20,95.0,399.0,38.5,24.0,994.82,19.96,34.0
2023-12-10 18:17:37,95.0,401.0,38.5,24.0,994.77,19.94,33.0
2023-12-10 18:37:46,95.0,401.0,38.5,21.0,994.71,19.92,36.0
2023-12-10 18:58:06,95.0,401.0,38.5,23.0,994.53,19.9,38.0
2023-12-10 19:18:23,95.0,401.0,38.5,23.0,994.47,19.89,38.0
2023-12-10 19:38:39,95.0,401.0,38.5,23.0,994.69,19.86,38.0
2023-12-10 19:58:56,95.0,401.0,38.5,23.0,994.61,19.86,39.0
2023-12-10 20:19:09,95.0,401.0,38.5,0.0,994.69,19.84,31.0
2023-12-10 20:39:21,95.0,400.0,38.5,0.0,994.79,19.82,38.0
2023-12-10 20:59:33,95.0,400.0,38.5,0.0,994.84,19.82,39.0
2023-12-10 21:19:45,95.0,399.0,38.5,0.0,994.77,19.81,41.0
2023-12-10 21:39:57,95.0,399.0,38.5,0.0,994.75,19.79,37.0
2023-12-10 22:00:09,95.0,400.0,38.5,0.0,994.77,19.79,47.0
2023-12-10 22:20:21,95.0,398.0,38.5,2.0,994.9,19.76,45.0
2023-12-10 22:40:33,95.0,397.0,38.5,0.0,994.86,19.75,51.0
2023-12-10 23:00:45,95.0,399.0,39.0,0.0,995.19,19.75,43.0
2023-12-10 23:20:57,95.0,399.0,39.0,0.0,995.36,19.73,52.0
2023-12-10 23:41:09,95.0,400.0,39.0,0.0,995.55,19.71,53.0
2023-12-11 00:01:21,95.0,400.0,39.0,0.0,995.81,19.71,64.0
2023-12-11 00:21:33,95.0,400.0,39.0,0.0,995.89,19.7,51.0
2023-12-11 00:41:45,95.0,400.0,39.0,0.0,995.95,19.69,65.0
2023-12-11 01:01:57,95.0,401.0,39.0,0.0,995.69,19.67,54.0
2023-12-11 01:22:09,95.0,400.0,39.0,0.0,995.59,19.66,65.0
2023-12-11 01:42:21,95.0,401.0,39.0,0.0,995.42,19.64,62.0
2023-12-11 02:02:33,95.0,401.0,39.0,0.0,995.4,19.63,72.0
2023-12-11 02:22:45,95.0,401.0,39.0,0.0,995.67,19.61,48.0
2023-12-11 02:42:57,95.0,401.0,39.0,0.0,995.81,19.6,53.0
2023-12-11 03:03:09,95.0,400.0,39.0,0.0,995.77,19.58,48.0
2023-12-11 03:23:21,95.0,401.0,39.0,0.0,995.51,19.57,43.0
2023-12-11 03:43:32,95.0,401.0,39.0,0.0,995.16,19.55,57.0
2023-12-11 04:03:52,95.0,401.0,39.0,24.0,995.0,19.55,49.0
2023-12-11 04:24:09,95.0,401.0,39.0,24.0,995.04,19.53,50.0
2023-12-11 04:44:26,95.0,401.0,39.0,24.0,994.73,19.52,59.0
2023-12-11 05:04:40,95.0,401.0,39.0,24.0,994.43,19.51,41.0
2023-12-11 05:24:56,95.0,401.0,39.0,24.0,994.69,19.5,56.0
2023-12-11 05:45:13,95.0,401.0,39.5,24.0,994.75,19.49,45.0
2023-12-11 06:05:29,95.0,401.0,39.5,24.0,994.39,19.49,45.0
2023-12-11 06:25:46,95.0,401.0,39.5,24.0,995.02,19.48,43.0
2023-12-11 06:46:04,95.0,401.0,39.5,24.0,995.0,19.47,42.0
2023-12-11 07:06:20,95.0,401.0,39.5,24.0,995.06,19.48,48.0
2023-12-11 07:26:37,95.0,401.0,39.5,24.0,995.18,19.47,72.0
2023-12-11 07:46:55,95.0,401.0,39.5,24.0,995.16,19.47,51.0
2023-12-11 08:07:11,95.0,402.0,39.5,24.0,995.36,19.48,84.0
2023-12-11 08:27:26,95.0,402.0,39.5,24.0,995.67,19.47,81.0
2023-12-11 08:47:43,95.0,402.0,39.5,24.0,996.04,19.49,72.0
2023-12-11 09:08:00,95.0,402.0,39.5,24.0,996.24,19.53,66.0
2023-12-11 10:08:46,95.0,404.0,39.5,24.0,997.02,19.63,54.0
2023-12-11 10:28:59,95.0,406.0,39.5,22.0,997.18,19.64,50.0
2023-12-11 10:49:19,95.0,408.0,39.5,23.0,997.57,19.67,42.0
2023-12-11 11:09:36,95.0,415.0,39.5,23.0,997.97,19.7,45.0
2023-12-11 11:29:52,95.0,422.0,39.5,23.0,997.97,19.74,42.0
2023-12-11 11:50:10,95.0,424.0,40.0,23.0,997.93,19.77,43.0
2023-12-11 12:10:26,95.0,428.0,40.0,23.0,998.08,19.85,44.0
2023-12-11 12:30:44,95.0,429.0,40.0,23.0,998.08,19.91,46.0
2023-12-11 12:51:00,95.0,432.0,40.0,23.0,998.22,19.97,51.0
2023-12-11 13:11:16,95.0,432.0,40.0,23.0,998.18,20.05,53.0
2023-12-11 13:31:33,95.0,433.0,40.0,23.0,998.48,20.13,48.0
2023-12-11 13:51:51,95.0,436.0,40.0,23.0,998.44,20.23,53.0
2023-12-11 14:12:05,95.0,437.0,40.0,23.0,998.55,20.34,48.0
2023-12-11 14:32:22,95.0,441.0,40.0,23.0,998.44,20.42,50.0
2023-12-11 14:52:38,95.0,441.0,40.0,23.0,998.34,20.49,62.0
2023-12-11 15:12:53,95.0,442.0,40.0,23.0,998.28,20.55,61.0
2023-12-11 15:33:10,95.0,450.0,40.0,23.0,998.32,20.59,78.0
2023-12-11 15:53:28,95.0,454.0,40.0,23.0,998.26,20.62,114.0
2023-12-11 16:13:44,95.0,455.0,40.0,23.0,998.5,20.64,129.0
2023-12-11 16:34:00,95.0,454.0,40.0,23.0,998.42,20.64,129.0
2023-12-11 17:34:50,95.0,466.0,40.5,23.0,998.57,20.71,188.0
