id_identification,Sensors,Locations
1C000019,"['Temperature' 'Humidite' 'O3' 'NO2' 'SO2' 'CO' 'PM1_0' 'PM2_5' 'PM10_0'
 'Batterie']",['4209']
1C00001A,"['Temperature' 'Humidite' 'O3' 'NO2' 'SO2' 'CO' 'PM1_0' 'PM2_5' 'PM10_0'
 'Batterie']",['4209']
1C00001B,"['Temperature' 'Humidite' 'O3' 'NO2' 'SO2' 'CO' 'PM1_0' 'PM2_5' 'PM10_0'
 'Batterie']",['entree Esiee']
42.1,['Temperature' 'Humidite' 'Luminosite' 'Batterie' 'RSSI'],['Bureau Remy']
42.2,['RSSI' 'Batterie' 'Luminosite' 'Humidite' 'Temperature'],['Bureau Nadine']
ersco2-01,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['loc1']
ersco2-02,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['loc2']
ersco2-03,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['loc3']
ersco2-04,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['loc4']
ersco2-05,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['tbd']
ersco2-06,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['tbd']
ersco2-07,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['tbd']
ersco2-08,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['tbd']
ersco2-09,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['tbd']
ersco2-10,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['tbd']
ersco2-11,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['tbd']
ersco2-12,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['tbd']
ersco2-13,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['tbd']
ersco2-14,['Luminosite' 'Humidite' 'CO2' 'Temperature' 'Batterie'],['tbd']
ersco2-15,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['tbd']
ersco2-16,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['tbd']
ersco2-17,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['tbd']
ersco2-18,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['tbd']
ersco2-19,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['tbd']
ersco2-20,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],['tbd']
ersco2_01,['CO2' 'Humidite' 'Luminosite' 'Temperature' 'Batterie'],[nan]
eui-70b3d58ff10261b6,['Batterie' 'CO2' 'Humidite' 'Luminosite' 'Pression' 'Temperature' 'COV'],['tbd']
eui-70b3d58ff10261e3,['Batterie' 'CO2' 'Humidite' 'Luminosite' 'Pression' 'Temperature' 'COV'],['tbd']
eui-70b3d58ff10261ee,['Batterie' 'CO2' 'Humidite' 'Luminosite' 'Pression' 'Temperature' 'COV'],['tbd']
eui-70b3d58ff1026205,['Batterie' 'CO2' 'Humidite' 'Luminosite' 'Pression' 'Temperature' 'COV'],['tbd']
eui-70b3d58ff10262c3,['COV' 'Temperature' 'Pression' 'Luminosite' 'Humidite' 'CO2' 'Batterie'],['tbd']
eui-70b3d58ff1026cd2,['Batterie' 'CO2' 'Humidite' 'Luminosite' 'Pression' 'Temperature' 'COV'],['tbd']
eui-70b3d58ff1026d0b,['Batterie' 'CO2' 'Humidite' 'Luminosite' 'Pression' 'Temperature' 'COV'],['tbd']
